Word,Normalized Score,Unique Letter Count,Unique Letters
Obnubilation,2.773,8,abilnotu
Obnunciation,2.773,8,abcinotu
Oboe,1.792,3,beo
Oboes,1.946,4,beos
Oboist,2.079,5,biost
Oboists,2.197,5,biost
Obol,1.792,3,blo
Obolary,2.485,6,ablory
Obolaria,2.303,6,abilor
Obole,1.946,4,belo
Oboles,2.079,5,belos
Obolet,2.079,5,belot
Oboli,1.946,4,bilo
Obolos,2.079,4,blos
Obols,1.946,4,blos
Obolus,2.079,5,blosu
Obomegoid,2.708,7,bdegimo
Obongo,2.197,4,bgno
Obouracy,2.708,7,abcoruy
Oboval,2.398,5,ablov
Obovate,2.485,6,abeotv
Obovoid,2.565,5,bdiov
Obpyramidal,3.045,10,abdilmopry
Obpyriform,3.091,8,bfimopry
Obrazil,2.89,7,abilorz
Obreption,2.565,8,beinoprt
Obreptitious,2.773,9,beioprstu
Obreptitiously,3.045,11,beiloprstuy
Obrien,2.079,6,beinor
Obrize,2.833,6,beiorz
Obrogate,2.398,7,abegort
Obrogated,2.565,8,abdegort
Obrogating,2.639,8,abginort
Obrogation,2.565,8,abginort
Obrotund,2.398,7,bdnortu
Obs,1.609,3,bos
Obscene,2.398,6,bcenos
Obscenely,2.773,8,bcelnosy
Obscener,2.485,7,bcenors
Obscenest,2.565,7,bcenost
Obscenity,2.773,9,bceinosty
Obscenities,2.708,8,bceinost
Obscura,2.398,7,abcorsu
Obscurancy,2.944,9,abcnorsuy
Obscurant,2.565,9,abcnorstu
Obscurantic,2.833,10,abcinorstu
Obscuranticism,3.091,11,abcimnorstu
Obscurantism,2.89,11,abcimnorstu
Obscurantist,2.773,10,abcinorstu
Obscurantists,2.833,10,abcinorstu
Obscuras,2.485,7,abcorsu
Obscuration,2.708,10,abcinorstu
Obscurative,2.89,11,abceiorstuv
Obscuratory,2.89,9,abcorstuy
Obscure,2.398,7,bceorsu
Obscured,2.565,8,bcdeorsu
Obscuredly,2.89,10,bcdelorsuy
Obscurely,2.773,9,bcelorsuy
Obscurement,2.833,10,bcemnorstu
Obscurer,2.485,7,bceorsu
Obscurers,2.565,7,bceorsu
Obscures,2.485,7,bceorsu
Obscurest,2.565,8,bceorstu
Obscuring,2.639,9,bcginorsu
Obscurism,2.708,8,bcimorsu
Obscurist,2.565,8,bciorstu
Obscurity,2.773,9,bciorstuy
Obscurities,2.708,9,bceiorstu
Obsecrate,2.565,8,abceorst
Obsecrated,2.708,9,abcdeorst
Obsecrating,2.773,11,abceginorst
Obsecration,2.708,10,abceinorst
Obsecrationary,3.045,11,abceinorsty
Obsecratory,2.89,9,abceorsty
Obsede,2.197,5,bdeos
Obsequence,3.135,8,bcenoqsu
Obsequent,2.996,8,benoqstu
Obsequy,3.045,7,beoqsuy
Obsequial,2.996,9,abeiloqsu
Obsequience,3.178,9,bceinoqsu
Obsequies,2.996,7,beioqsu
Obsequiosity,3.258,9,beioqstuy
Obsequious,3.045,7,beioqsu
Obsequiously,3.258,9,beiloqsuy
Obsequity,3.135,9,beioqstuy
Obsequium,3.091,8,beimoqsu
Observability,3.135,11,abeilorstvy
Observable,2.833,8,abelorsv
Observably,2.996,9,abelorsvy
Observance,2.833,9,abcenorsv
Observances,2.89,9,abcenorsv
Observancy,2.996,10,abcenorsvy
Observanda,2.773,9,abdenorsv
Observandum,2.944,11,abdemnorsuv
Observant,2.639,9,abenorstv
Observantine,2.833,10,abeinorstv
Observantist,2.833,10,abeinorstv
Observantly,2.944,11,abelnorstvy
Observatin,2.708,10,abeinorstv
Observation,2.773,10,abeinorstv
Observational,2.89,11,abeilnorstv
Observationalism,3.135,12,abeilmnorstv
Observations,2.833,10,abeinorstv
Observative,2.944,9,abeiorstv
Observator,2.708,8,abeorstv
Observatory,2.944,9,abeorstvy
Observatorial,2.89,10,abeilorstv
Observatories,2.89,9,abeiorstv
Observe,2.485,6,beorsv
Observed,2.639,7,bdeorsv
Observedly,2.944,9,bdelorsvy
Observer,2.565,6,beorsv
Observers,2.639,6,beorsv
Observership,3.091,9,behioprsv
Observes,2.565,6,beorsv
Observing,2.708,9,beginorsv
Observingly,2.996,11,begilnorsvy
Obside,2.197,6,bdeios
Obsidian,2.398,7,abdinos
Obsidianite,2.639,9,abdeinost
Obsidians,2.485,7,abdinos
Obsidional,2.565,8,abdilnos
Obsidionary,2.833,9,abdinorsy
Obsidious,2.485,6,bdiosu
Obsign,2.197,6,bginos
Obsignate,2.485,9,abeginost
Obsignation,2.639,8,abginost
Obsignatory,2.833,10,abginorsty
Obsolesc,2.485,6,bcelos
Obsolesce,2.565,6,bcelos
Obsolesced,2.708,7,bcdelos
Obsolescence,2.89,7,bcelnos
Obsolescent,2.708,8,bcelnost
Obsolescently,2.996,9,bcelnosty
Obsolescing,2.773,9,bcegilnos
Obsolete,2.303,6,belost
Obsoleted,2.485,7,bdelost
Obsoletely,2.708,7,belosty
Obsoletes,2.398,6,belost
Obsoleting,2.565,9,begilnost
Obsoletion,2.485,8,beilnost
Obsoletism,2.639,8,beilmost
Obstacle,2.485,8,abcelost
Obstacles,2.565,8,abcelost
Obstancy,2.708,8,abcnosty
Obstant,2.197,6,abnost
Obstante,2.303,7,abenost
Obstet,2.079,5,beost
Obstetric,2.565,8,bceiorst
Obstetrical,2.708,10,abceilorst
Obstetricate,2.773,9,abceiorst
Obstetricated,2.89,10,abcdeiorst
Obstetricating,2.944,11,abceginorst
Obstetrication,2.89,10,abceinorst
Obstetricy,2.833,9,bceiorsty
Obstetrician,2.773,10,abceinorst
Obstetricians,2.833,10,abceinorst
Obstetricies,2.773,8,bceiorst
Obstetrics,2.639,8,bceiorst
Obstetrist,2.485,7,beiorst
Obstetrix,2.89,8,beiorstx
Obstinacy,2.773,9,abcinosty
Obstinacies,2.708,9,abceinost
Obstinacious,2.773,9,abcinostu
Obstinance,2.639,9,abceinost
Obstinancy,2.833,9,abcinosty
Obstinant,2.398,7,abinost
Obstinate,2.398,8,abeinost
Obstinately,2.773,10,abeilnosty
Obstination,2.565,7,abinost
Obstinative,2.773,9,abeinostv
Obstipant,2.565,8,abinopst
Obstipate,2.565,8,abeiopst
Obstipated,2.708,9,abdeiopst
Obstipation,2.708,8,abinopst
Obstreperate,2.773,8,abeoprst
Obstreperosity,3.045,9,beioprsty
Obstreperous,2.773,8,beoprstu
Obstreperously,3.045,10,beloprstuy
Obstriction,2.708,8,bcinorst
Obstringe,2.485,9,beginorst
Obstruct,2.485,7,bcorstu
Obstructant,2.708,9,abcnorstu
Obstructed,2.708,9,bcdeorstu
Obstructedly,2.996,11,bcdelorstuy
Obstructer,2.639,8,bceorstu
Obstructers,2.708,8,bceorstu
Obstructing,2.773,10,bcginorstu
Obstructingly,3.045,12,bcgilnorstuy
Obstruction,2.708,9,bcinorstu
Obstructionism,2.996,10,bcimnorstu
Obstructionist,2.89,9,bcinorstu
Obstructionistic,3.091,9,bcinorstu
Obstructionists,2.944,9,bcinorstu
Obstructions,2.773,9,bcinorstu
Obstructive,2.89,10,bceiorstuv
Obstructively,3.135,12,bceilorstuvy
Obstructivism,3.091,10,bcimorstuv
Obstructivity,3.135,10,bciorstuvy
Obstructor,2.639,7,bcorstu
Obstructors,2.708,7,bcorstu
Obstructs,2.565,7,bcorstu
Obstruent,2.398,8,benorstu
Obstruse,2.303,7,beorstu
Obstruxit,2.89,8,biorstux
Obstupefy,2.944,9,befopstuy
Obtain,2.079,6,abinot
Obtainability,2.996,8,abilnoty
Obtainable,2.639,8,abeilnot
Obtainably,2.833,8,abilnoty
Obtainal,2.303,7,abilnot
Obtainance,2.639,8,abceinot
Obtained,2.398,8,abdeinot
Obtainer,2.303,8,abeinort
Obtainers,2.398,9,abeinorst
Obtaining,2.485,7,abginot
Obtainment,2.639,8,abeimnot
Obtains,2.197,7,abinost
Obtect,2.303,5,bceot
Obtected,2.565,6,bcdeot
Obtemper,2.639,7,bemoprt
Obtemperate,2.833,8,abemoprt
Obtend,2.197,6,bdenot
Obtenebrate,2.708,7,abenort
Obtenebration,2.833,8,abeinort
Obtent,2.079,5,benot
Obtention,2.398,6,beinot
Obtest,2.079,5,beost
Obtestation,2.565,8,abeinost
Obtested,2.398,6,bdeost
Obtesting,2.485,8,beginost
Obtests,2.197,5,beost
Obtrect,2.398,6,bceort
Obtriangular,2.708,10,abgilnortu
Obtrude,2.303,7,bdeortu
Obtruded,2.485,7,bdeortu
Obtruder,2.398,7,bdeortu
Obtruders,2.485,8,bdeorstu
Obtrudes,2.398,8,bdeorstu
Obtruding,2.565,9,bdginortu
Obtruncate,2.639,9,abcenortu
Obtruncation,2.773,9,abcinortu
Obtruncator,2.708,8,abcnortu
Obtrusion,2.398,8,binorstu
Obtrusionist,2.639,8,binorstu
Obtrusions,2.485,8,binorstu
Obtrusive,2.639,9,beiorstuv
Obtrusively,2.944,11,beilorstuvy
Obtund,2.197,6,bdnotu
Obtunded,2.485,7,bdenotu
Obtundent,2.485,7,bdenotu
Obtunder,2.398,8,bdenortu
Obtunding,2.565,8,bdginotu
Obtundity,2.708,8,bdinotuy
Obtunds,2.303,7,bdnostu
Obturate,2.303,7,abeortu
Obturated,2.485,8,abdeortu
Obturates,2.398,8,abeorstu
Obturating,2.565,9,abginortu
Obturation,2.485,8,abinortu
Obturator,2.398,6,abortu
Obturatory,2.708,7,abortuy
Obturbinate,2.708,9,abeinortu
Obtusangular,2.708,10,abglnorstu
Obtuse,2.079,6,beostu
Obtusely,2.565,8,belostuy
Obtuser,2.197,7,beorstu
Obtusest,2.303,6,beostu
Obtusifid,2.708,8,bdfiostu
Obtusifolious,2.89,8,bfilostu
Obtusilingual,2.773,10,abgilnostu
Obtusilobous,2.773,7,bilostu
Obtusion,2.303,7,binostu
Obtusirostrate,2.773,9,abeiorstu
Obtusish,2.565,7,bhiostu
Obtusity,2.565,7,biostuy
Obumbrant,2.708,8,abmnortu
Obumbrate,2.708,8,abemortu
Obumbrated,2.833,9,abdemortu
